sr,name_address,type,capacity_MTA,registration,issue_date,validity,status,district,email,phone
1,"Arihant E Recycling Pvt Ltd, Gut No.307/1, Shahada Road, Dondaicha, Tal-Sindkheda, Dist-Dhule.",Recycler,2000,MPCB/RO(HQ)/HSMD/Autho,2018-11-01,2023-09-30,LAPSED_IN_LIST,Dhule,info@arihantinfo.com,9820350406
2,"WE-The Recycling Company, H. No. 2212, Sr. No. 9-1 N, Behind Essar Petrol Pump, Village Borpada, Tal. Bhiwandi, Dist. Thane",Recycler,800,MPCB/RO(HQ)/HSMD/Autho,2022-09-07,2027-08-31,VALID,Thane,payalc25@gmail.com,7718824575
3,"Techeco E-Waste Namo LLP, Gat No. 155 B/2, Village Dhakambe, Tal. Dindori, Dist. Nashik",Recycler,9360,MPCB/RO(HQ)/HSMD/Autho,2019-11-11,2024-10-31,LAPSED_IN_LIST,Nashik,techeco123@gmail.com,9769117070
4,"Threco Recycling LLP, Survey No. 153-3 & 149-1, Hedavli, Dist- Raigad.",Recycler,3000,MPCB/RO(HQ)/HSMD/autho/,2021-02-23,2026-01-31,LAPSED_IN_LIST,Raigad,karan@threco.com,9820622802
5,"Hi-Tech Recycling (I) Pvt. Ltd,Property No.193, Gat No. 89, Pune-Satara Road, Shindewadi, Tal: Bhor, Dist. Pune",Recycler,1410,MPCB/RO(HQ)/HSMD/Autho,2020-12-28,2025-11-30,LAPSED_IN_LIST,Pune,manish@hitechrecycling.in,9860602601
6,"Justdispose Recycling Pvt Ltd. (Unit-II), S.No. 42/5,Kaddu Industrial Estate, Sativali Phata,Vasai (E), Tal- Vasai,Dist-Palghar.",Recycler,1200,MPCB/RO(HQ)/HSMD/Autho,2021-05-12,2026-04-30,LAPSED_IN_LIST,Palghar,hemant@justdispose.com,9833030124
7,"E-Incarnation Recycling Pvt. Ltd. Plot No. J-56, MIDC Area, Tarapur, Boiser, Dist: Palghar, Maharashtra",Recycler,950,MPCB/RO(HQ)/HSMD/autho/,2021-11-01,2026-09-30,VALID,Palghar,info@e-incarnation.com,
8,"Eco-Recycling Ltd., Eco-House, Near Top Glass Enclave, Bhoipada, Near Range Office, Sativali Road, Vasai (E), Dist. Palghar",Recycler,7200,MPCB/RO(HQ)/HSMD/Autho,2019-04-15,2023-12-31,LAPSED_IN_LIST,Palghar,inspection@ecoreco.com,9867729662
9,"Evergreen Recyclekaro India Pvt. Ltd.,Gut. No. 113/A, Village Pali, Tal. Wada, Dist. Palghar",Recycler,7500,MPCB/RO(HQ)/HSMD/autho/,2022-06-10,2027-05-31,VALID,Palghar,rajesh@recyclekaro.com,9967310007
10,"Eco Reset Private Limited, Plot No. 19/1, Mouza Bhowari, Kamptee, Nagpur",Recycler,10200,MPCB/RO(HQ)/HSMD/autho/,2022-11-17,2027-02-28,VALID,,ecoreset41@gmail.com,7021819071
11,"S V Greentech Private Limited, Gut No. 517/1, & 529, Village: Kelthan Tal. Wada, Dist. Palghar",Recycler,8500,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-02-29,VALID,Palghar,rihanmalik986@gmail.com,9371106436
12,"Global E-Recycling Pvt Ltd Plot No 2,3,4 Sr No 11 H No 1/1, Wakanpada Dhaniv, Palghar",Recycler,400,MPCB/RO(HQ)/HSMD/Autho,2023-03-24,2028-02-29,VALID,,,9833542199
13,"Green Enviro Management Solutions LLP, Plot No. 51, Gat No. 376, Kanhe Phata, Tal. Mawal, Dist. Pune",Recycler,594,MPCB/RO(HQ)/HSMD/Autho,2019-02-25,2024-01-31,LAPSED_IN_LIST,Pune,mail.gps@gmail.com,9766110860
14,"ECO Friend Industries, Plot No. A-205, TTC Industrial Area, MIDC Pawane, Navi Mumbai, Tal. & Dist. Thane Dismantler",Recycler,1000,MPCB/RO(HQ)/HSMD/Autho,2022-06-20,2027-05-31,VALID,Thane,ingle.mamata@raoagroup.co,9821151069
15,"Lilashana Sales, Ramdas Company, Nandra Road, Khamgaon, Dist. Buldhana",Dismantler,360,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-02-29,VALID,Buldhana,inglesales007@gmail.com,9850349580
16,"Ambar Enterprises Awutade, Handewadi, Tal. Haveli, Dist. Pune 411028",Dismantler,250,MPCB/RO(HQ)/HSMD/Autho,2018-12-04,2023-10-31,LAPSED_IN_LIST,Pune,ambarent028@gmail.com,9890812746
17,"National Traders S. No. 103/1/2, Undri-Saswad Road, Autade, Handewadi, Tal. Haveli, Dist. Pune",Dismantler,250,MPCB/RO(HQ)/HSMD/Autho,2019-05-24,2024-04-30,LAPSED_IN_LIST,Pune,national.autade@gmail.com,9850757587
18,"Kohinoor E-Waste Recycling Pvt. Ltd. Gut No. 205/1 and 205/2, Opp. GurudattaWashing Centre, Dhekhu, Khalapur, Dist. Raigad",Dismantler,240,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,Raigad,,9821227048
19,"S. S. E-Waste Recyclers, Gut No. 442, Village Usar, Kondla Road, Tal. Wada, Dist. Palghar 421312",Recycler,1500,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,Palghar,ssewasterecyclers@gmail.co,9022181911
20,"AG Enterprises, Gat No. 815 (1), Kudalwadi, Chikhali, Pune 411062",Dismantler,365,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,,agpune57@gmail.com,9822783051
21,Pune Greens Electronic Waste,Recycler,500,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,,punegreensewaste@gmail.co,9922071877
22,"Aman Trading Co. F/1, Annasagr Market, Behind Farooqi Hotel, Kurla Andheri Road, Jarimari, Kurla (W), Mumbai 400072",Dismantler,100,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,,aqtanveer11@gmail.com,9833721472
23,"Poona E-Waste Solutions, 1/1009, Gat No. 2334/4, Wagholi, Pune 412207",Dismantler,250,MPCB/RO(HQ)/HSMD/Autho,2018-06-30,2023-05-31,LAPSED_IN_LIST,,,8888999362
24,"Eco Tantra LLP M-365, Raviwar Peth, Bohari Lane, Tal. & Dist. Pune",Dismantler,160,MPCB/RO(HQ)/HSMD/Autho,2018-10-29,2023-09-30,LAPSED_IN_LIST,Pune,richa@ecotantra.in,8981473653
25,"Amiable Electroning Pvt. Ltd. Plot No. D-141, Shirawane, TTC Industrial Area, MIDC Shiewane, Nerul, Navi Mumbai",Dismantler,750,MPCB/RO(HQ)/HSMD/Autho,2018-10-29,2023-07-31,LAPSED_IN_LIST,,vipul.g@electronicsbazaar.c,7667568801
26,"E-Recon Recycling Pvt. Ltd. Gut No. 94, Chitegaon, Tal. Paithan, Dist. Aurangabad",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2018-10-29,2023-09-30,LAPSED_IN_LIST,Aurangabad,e.recon21@gmail.com,9860579870
27,"Eco Layer E-Waste Recycling S. No. 11, H. No. 1/1, PT-8, S. K. Indl. Estate, Choudhary Compound, Vasai E, Palghar",Dismantler,110,MPCB/RO(HQ)/HSMD/Autho,2018-11-14,2023-10-31,LAPSED_IN_LIST,,nafeeshkhan35@gmail.com,9820750836
28,"Prabhunath Traders, Sr. No. 314, H. No. 2, Uruli Devachi, Tal. Haveli, Dist. Pune",Dismantler,1680,MPCB/RO(HQ)/HSMD/Autho,2019-02-22,2024-01-31,LAPSED_IN_LIST,Pune,scrapcomputer11@gmail.co,9326262223
29,"J Choudhary & Company Sr. No. 67/3, Pipewal Lane Mohammadiya Estate, Pimpri Old Mumbai Pune Road, Pimpri, Thane 400612",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2019-02-22,2024-01-31,LAPSED_IN_LIST,,jchoudharyandco@gmail.com,9869063886
