reference_id,Category,Item,Specification,Unit,reference_price,price_change_pct,critical_materials
REF001,AC Split,1 Ton Copper (1T-Cop),Split AC,KG,132.00,0.08,"Copper, Iron, Aluminium"
REF002,AC Split,1 Ton Copper Inverter (1T-Cop-INV),Inverter Split AC,KG,120.00,0.08,"Copper, Iron, Aluminium, Rare Earths (PCBs)"
REF003,AC Split,1.5 Ton Copper (1.5T-Cop),Split AC,KG,140.00,0.07,"Copper, Iron, Aluminium"
REF004,AC Split,1.5 Ton Copper Inverter (1.5T-Cop-INV),Inverter Split AC,KG,123.00,-0.08,"Copper, Iron, Aluminium, Rare Earths (PCBs)"
REF005,AC Split,1.5 Ton Aluminium (1.5T-Alu),Split AC,KG,116.00,-0.09,"Aluminium, Iron"
REF006,AC Split,1.5 Ton Aluminium Inverter (1.5T-Alu-INV),Inverter Split AC,KG,101.00,0.20,"Aluminium, Iron, Rare Earths (PCBs)"
REF007,AC Split,2 Ton Copper (2T-Cop),Split AC,KG,141.00,0.07,"Copper, Iron, Aluminium"
REF008,AC Split,2 Ton Copper Inverter (2T-Cop-INV),Inverter Split AC,KG,128.00,0.08,"Copper, Iron, Aluminium, Rare Earths (PCBs)"
REF009,AC Split,2 Ton Aluminium (2T-Alu),Split AC,KG,126.00,-0.08,"Aluminium, Iron"
REF010,AC Split,2 Ton Aluminium Inverter (2T-Alu-INV),Inverter Split AC,KG,113.00,0.09,"Aluminium, Iron, Rare Earths (PCBs)"
REF011,AC Window,1 Ton Copper (1T-Cop),Window AC,KG,121.00,-0.08,"Copper, Iron, Aluminium"
REF012,AC Window,1 Ton Copper Inverter (1T-Cop-INV),Inverter Window AC,KG,107.00,0.09,"Copper, Iron, Aluminium"
REF013,AC Window,1.5 Ton Copper (1.5T-Cop),Window AC,KG,125.00,0.08,"Copper, Iron, Aluminium"
REF014,AC Window,1.5 Ton Copper Inverter (1.5T-Cop-INV),Inverter Window AC,KG,111.00,0.09,"Copper, Iron, Aluminium"
REF015,AC Window,1.5 Ton Aluminium (1.5T-Alu),Window AC,KG,111.00,0.09,"Aluminium, Iron"
REF016,AC Window,1.5 Ton Aluminium Inverter (1.5T-Alu-INV),Inverter Window AC,KG,96.00,0.10,"Aluminium, Iron"
